hhid,hh_age,hh_race_sep,hh_race
191004671,Household age 35-64,White,White
191004681,Household excl. age 18-34,White,White
191004684,Household age 35-64,Asian,Asian
191004698,Household excl. age 18-34,White,White
191004729,Household age 35-64,White,White
191004760,Household with children,White,White
191004763,Household with children,White,White
191004799,Household age 35-64,White,White
191004800,Household age 65+,Asian,Asian
191004830,Household age 35-64,White,White
191004842,Household age 65+,Other,Other
191004864,Household age 65+,White,White
191004902,Household age 35-64,White,White
191004930,Household age 35-64,Other,Other
191004939,Household excl. age 18-34,Asian,Asian
191004952,Household excl. age 18-34,Asian,Asian
191004973,Household age 35-64,Non-Asian POC,Non-Asian POC
191005041,Household excl. age 18-34,Asian,Asian
191005059,Household age 65+,White,White
191005087,Household age 35-64,Other,Other
191005103,Household age 35-64,White,White
191005116,Household age 65+,White,White
191005127,Household age 35-64,White,White
191005129,Household age 65+,White,White
191005133,Household with children,Other,Other
191005174,Household age 65+,Non-Asian POC,Non-Asian POC
191005185,Household age 65+,Other,Other
191005294,Household age 65+,White,White
191005310,Household with children,White,White
191005321,Household with children,White,White
191005358,Household with children,White,White
191005361,Household excl. age 18-34,Asian,Asian
191005369,Household age 35-64,White,White
191005375,Household age 35-64,White,White
191005382,Household age 35-64,White,White
191005386,Household excl. age 18-34,Asian,Asian
191005465,Household age 65+,White,White
191005584,Household age 35-64,Other,Other
191005622,Household with children,Non-Asian POC,Non-Asian POC
191005626,Household with children,White,White
191005683,Household with children,White,White
191005716,Household age 65+,Asian,Asian
191005721,Household excl. age 18-34,White,White
191005727,Household age 65+,White,White
191005732,Household age 65+,White,White
191005781,Household age 35-64,White,White
191005782,Household age 65+,White,White
191005783,Household age 35-64,White,White
191005786,Household with children,Non-Asian POC,Non-Asian POC
191005790,Household age 35-64,Asian,Asian
191005797,Household age 35-64,White,White
191005819,Household with children,White,White
191005827,Household excl. age 18-34,White,White
191005841,Household excl. age 18-34,White,White
191005865,Household age 35-64,Asian,Asian
191005866,Household age 35-64,White,White
191005872,Household age 65+,White,White
191005876,Household with children,White,White
191005877,Household age 65+,White,White
191005910,Household age 65+,White,White
191005915,Household excl. age 18-34,Other,Other
191005958,Household age 35-64,White,White
191005980,Household age 35-64,Non-Asian POC,Non-Asian POC
191005999,Household age 35-64,White,White
191006106,Household excl. age 18-34,Asian,Asian
191006149,Household with children,White,White
191006161,Household excl. age 18-34,Asian,Asian
191006204,Household age 35-64,White,White
191006222,Household with children,White,White
191006233,Household age 65+,Non-Asian POC,Non-Asian POC
191006318,Household age 65+,Non-Asian POC,Non-Asian POC
191006335,Household age 35-64,White,White
191006337,Household age 65+,White,White
191006367,Household excl. age 18-34,Asian,Asian
191006399,Household age 65+,Other,Other
191006405,Household age 35-64,White,White
191006426,Household with children,White,White
191006440,Household age 65+,White,White
191006490,Household excl. age 18-34,White,White
191006523,Household excl. age 18-34,Asian,Asian
191006560,Household age 35-64,White,White
191006602,Household age 65+,White,White
191006620,Household age 35-64,White,White
191006633,Household age 35-64,White,White
191006634,Household age 65+,White,White
191006642,Household with children,White,White
191006673,Household with children,White,White
191006685,Household age 35-64,White,White
191006702,Household age 35-64,Asian,Asian
191006706,Household with children,Asian,Asian
191006752,Household age 35-64,Non-Asian POC,Non-Asian POC
191006802,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191006804,Household age 35-64,White,White
191006817,Household age 65+,White,White
191006818,Household excl. age 18-34,Other,Other
191006828,Household excl. age 18-34,Asian,Asian
191006841,Household with children,White,White
191006851,Household age 35-64,White,White
191006858,Household excl. age 18-34,White,White
191006865,Household excl. age 18-34,White,White
191006866,Household with children,White,White
191006877,Household with children,Non-Asian POC,Non-Asian POC
191006890,Household excl. age 18-34,White,White
191006898,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191006914,Household age 65+,White,White
191006938,Household age 35-64,White,White
191006970,Household age 65+,White,White
191006981,Household excl. age 18-34,Asian,Asian
191006995,Household age 35-64,White,White
191007020,Household age 35-64,White,White
191007024,Household age 35-64,White,White
191007038,Household age 35-64,Non-Asian POC,Non-Asian POC
191007039,Household excl. age 18-34,White,White
191007069,Household with children,White,White
191007070,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191007189,Household with children,White,White
191007249,Household with children,Asian,Asian
191007252,Household excl. age 18-34,Asian,Asian
191007265,Household excl. age 18-34,Asian,Asian
191007278,Household age 35-64,White,White
191007300,Household excl. age 18-34,White,White
191007349,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191007350,Household age 65+,White,White
191007398,Household with children,Asian,Asian
191007497,Household age 35-64,White,White
191007500,Household with children,Asian,Asian
191007506,Household excl. age 18-34,White,White
191007534,Household with children,White,White
191007538,Household age 35-64,Non-Asian POC,Non-Asian POC
191007557,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191007580,Household age 35-64,White,White
191007599,Household age 35-64,White,White
191007604,Household age 65+,Asian,Asian
191007617,Household excl. age 18-34,White,White
191007636,Household excl. age 18-34,White,White
191007660,Household age 35-64,White,White
191007673,Household age 65+,White,White
191007684,Household age 35-64,White,White
191007689,Household excl. age 18-34,White,White
191007697,Household age 35-64,Non-Asian POC,Non-Asian POC
191007703,Household age 35-64,White,White
191007730,Household excl. age 18-34,White,White
191007737,Household age 35-64,White,White
191007778,Household excl. age 18-34,White,White
191007787,Household age 35-64,Non-Asian POC,Non-Asian POC
191007808,Household excl. age 18-34,Other,Other
191007813,Household age 35-64,White,White
191007834,Household age 35-64,White,White
191007841,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191007847,Household age 65+,White,White
191007870,Household excl. age 18-34,White,White
191007901,Household excl. age 18-34,Asian,Asian
191007908,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191007924,Household excl. age 18-34,Other,Other
191007926,Household excl. age 18-34,Other,Other
191007970,Household age 35-64,White,White
191008034,Household age 35-64,White,White
191008039,Household age 35-64,White,White
191008040,Household age 35-64,White,White
191008042,Household excl. age 18-34,White,White
191008093,Household age 35-64,White,White
191008140,Household excl. age 18-34,Asian,Asian
191008152,Household excl. age 18-34,Asian,Asian
191008165,Household age 65+,White,White
191008205,Household excl. age 18-34,White,White
191008217,Household excl. age 18-34,White,White
191008224,Household with children,Non-Asian POC,Non-Asian POC
191008265,Household excl. age 18-34,Asian,Asian
191008299,Household with children,Other,Other
191008325,Household age 35-64,White,White
191008335,Household age 35-64,White,White
191008340,Household age 35-64,White,White
191008341,Household excl. age 18-34,Asian,Asian
191008349,Household age 35-64,White,White
191008400,Household age 65+,White,White
191008404,Household age 35-64,Other,Other
191008472,Household age 65+,White,White
191008476,Household excl. age 18-34,Other,Other
191008498,Household excl. age 18-34,White,White
191008522,Household excl. age 18-34,White,White
191008543,Household age 35-64,White,White
191008582,Household age 35-64,White,White
191008614,Household with children,White,White
191008628,Household age 65+,White,White
191008683,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191008687,Household excl. age 18-34,White,White
191008694,Household with children,White,White
191008702,Household with children,White,White
191008706,Household excl. age 18-34,Asian,Asian
191008739,Household age 35-64,White,White
191008755,Household excl. age 18-34,White,White
191008763,Household age 35-64,White,White
191008767,Household excl. age 18-34,White,White
191008789,Household excl. age 18-34,White,White
191008794,Household age 35-64,Non-Asian POC,Non-Asian POC
191008847,Household age 65+,White,White
191008857,Household age 65+,White,White
191008858,Household age 35-64,White,White
191008874,Household age 35-64,White,White
191008892,Household excl. age 18-34,White,White
191008894,Household excl. age 18-34,White,White
191008907,Household age 35-64,White,White
191008936,Household with children,White,White
191008945,Household excl. age 18-34,Asian,Asian
191009008,Household with children,White,White
191009017,Household age 35-64,White,White
191009028,Household age 35-64,White,White
191009053,Household age 65+,White,White
191009074,Household with children,Non-Asian POC,Non-Asian POC
191009153,Household with children,White,White
191009177,Household with children,Non-Asian POC,Non-Asian POC
191009178,Household age 35-64,White,White
191009183,Household excl. age 18-34,White,White
191009208,Household age 35-64,White,White
191009242,Household age 35-64,Asian,Asian
191009248,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191009251,Household age 65+,White,White
191009252,Household excl. age 18-34,Asian,Asian
191009256,Household excl. age 18-34,Asian,Asian
191009257,Household age 35-64,Non-Asian POC,Non-Asian POC
191009266,Household age 35-64,Non-Asian POC,Non-Asian POC
191009267,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191009284,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191009325,Household age 35-64,White,White
191009335,Household age 35-64,White,White
191009366,Household excl. age 18-34,White,White
191009378,Household with children,White,White
191009405,Household excl. age 18-34,Asian,Asian
191009432,Household with children,White,White
191009444,Household age 35-64,Other,Other
191009450,Household age 35-64,White,White
191009462,Household with children,Non-Asian POC,Non-Asian POC
191009463,Household excl. age 18-34,White,White
191009465,Household age 35-64,Asian,Asian
191009507,Household age 35-64,Non-Asian POC,Non-Asian POC
191009534,Household age 35-64,White,White
191009539,Household excl. age 18-34,White,White
191009561,Household excl. age 18-34,White,White
191009564,Household age 35-64,White,White
191009576,Household with children,White,White
191009613,Household age 35-64,White,White
191009615,Household excl. age 18-34,White,White
191009632,Household age 35-64,White,White
191009639,Household age 35-64,White,White
191009660,Household age 35-64,White,White
191009716,Household age 35-64,White,White
191009763,Household excl. age 18-34,White,White
191009787,Household age 65+,Other,Other
191009807,Household age 35-64,Non-Asian POC,Non-Asian POC
191009808,Household age 35-64,White,White
191009864,Household with children,White,White
191009886,Household age 65+,Asian,Asian
191009898,Household age 65+,White,White
191009928,Household excl. age 18-34,White,White
191009954,Household age 35-64,White,White
191009963,Household age 65+,Non-Asian POC,Non-Asian POC
191009969,Household age 35-64,White,White
191009978,Household age 35-64,Non-Asian POC,Non-Asian POC
191010027,Household excl. age 18-34,White,White
191010036,Household age 35-64,White,White
191010039,Household age 35-64,White,White
191010049,Household age 35-64,Asian,Asian
191010064,Household with children,Non-Asian POC,Non-Asian POC
191010153,Household excl. age 18-34,White,White
191010157,Household age 65+,White,White
191010170,Household with children,White,White
191010175,Household age 35-64,White,White
191010190,Household age 35-64,Non-Asian POC,Non-Asian POC
191010245,Household excl. age 18-34,White,White
191010306,Household age 65+,White,White
191010341,Household age 35-64,Other,Other
191010405,Household age 35-64,Asian,Asian
191010425,Household age 35-64,Other,Other
191010429,Household age 35-64,White,White
191010435,Household age 65+,White,White
191010513,Household excl. age 18-34,Asian,Asian
191010555,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191010571,Household excl. age 18-34,Other,Other
191010592,Household age 35-64,Other,Other
191010601,Household age 65+,White,White
191010621,Household age 65+,White,White
191010688,Household with children,White,White
191010707,Household excl. age 18-34,White,White
191010751,Household age 65+,White,White
191010754,Household age 65+,White,White
191010761,Household age 65+,White,White
191010795,Household excl. age 18-34,Other,Other
191010818,Household age 35-64,White,White
191010845,Household age 35-64,White,White
191010848,Household with children,Asian,Asian
191010891,Household age 35-64,White,White
191010927,Household age 65+,Other,Other
191010931,Household with children,White,White
191010956,Household age 35-64,White,White
191010966,Household age 35-64,White,White
191010980,Household with children,White,White
191011006,Household age 35-64,White,White
191011025,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191011057,Household excl. age 18-34,White,White
191011069,Household age 65+,White,White
191011081,Household with children,Non-Asian POC,Non-Asian POC
191011126,Household with children,White,White
191011182,Household with children,White,White
191011190,Household excl. age 18-34,Other,Other
191011196,Household age 35-64,White,White
191011216,Household age 65+,White,White
191011251,Household age 35-64,White,White
191011300,Household age 35-64,Other,Other
191011333,Household age 35-64,White,White
191011386,Household age 65+,White,White
191011394,Household with children,White,White
191011434,Household age 35-64,White,White
191011435,Household age 35-64,White,White
191011458,Household age 35-64,White,White
191011470,Household with children,White,White
191011550,Household with children,Non-Asian POC,Non-Asian POC
191011572,Household with children,White,White
191011588,Household age 65+,White,White
191011593,Household with children,White,White
191011606,Household age 35-64,White,White
191011613,Household age 35-64,Non-Asian POC,Non-Asian POC
191011639,Household with children,White,White
191011677,Household excl. age 18-34,Asian,Asian
191011681,Household age 65+,White,White
191011688,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191011695,Household excl. age 18-34,White,White
191011705,Household age 35-64,White,White
191011719,Household age 35-64,White,White
191011751,Household with children,White,White
191011760,Household age 35-64,White,White
191011770,Household age 35-64,Non-Asian POC,Non-Asian POC
191011774,Household age 35-64,White,White
191011775,Household excl. age 18-34,White,White
191011781,Household age 35-64,White,White
191011832,Household excl. age 18-34,White,White
191011859,Household age 65+,Asian,Asian
191011870,Household age 35-64,White,White
191011906,Household excl. age 18-34,White,White
191011910,Household age 35-64,White,White
191011951,Household age 35-64,White,White
191011961,Household with children,Non-Asian POC,Non-Asian POC
191011997,Household age 35-64,Asian,Asian
191012019,Household age 35-64,White,White
191012079,Household excl. age 18-34,Other,Other
191012112,Household excl. age 18-34,Asian,Asian
191012128,Household age 35-64,Non-Asian POC,Non-Asian POC
191012132,Household excl. age 18-34,White,White
191012135,Household age 35-64,White,White
191012146,Household age 35-64,White,White
191012216,Household age 35-64,White,White
191012224,Household with children,White,White
191012230,Household age 65+,Non-Asian POC,Non-Asian POC
191012235,Household age 65+,White,White
191012236,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191012258,Household age 65+,White,White
191012259,Household excl. age 18-34,White,White
191012279,Household age 35-64,Asian,Asian
191012352,Household age 35-64,White,White
191012423,Household excl. age 18-34,Other,Other
191012435,Household age 35-64,Non-Asian POC,Non-Asian POC
191012446,Household with children,Non-Asian POC,Non-Asian POC
191012447,Household age 35-64,White,White
191012463,Household excl. age 18-34,Other,Other
191012500,Household with children,White,White
191012513,Household excl. age 18-34,Asian,Asian
191012516,Household age 35-64,White,White
191012517,Household age 35-64,Non-Asian POC,Non-Asian POC
191012540,Household excl. age 18-34,White,White
191012582,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191012668,Household age 35-64,White,White
191012685,Household with children,Asian,Asian
191012702,Household with children,White,White
191012707,Household with children,Other,Other
191012724,Household age 65+,White,White
191012749,Household age 65+,Asian,Asian
191012781,Household age 65+,Non-Asian POC,Non-Asian POC
191012783,Household age 35-64,Non-Asian POC,Non-Asian POC
191012827,Household age 65+,Other,Other
191012841,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191012865,Household excl. age 18-34,White,White
191012866,Household age 65+,White,White
191012875,Household age 65+,White,White
191012884,Household with children,White,White
191012914,Household excl. age 18-34,White,White
191012970,Household age 35-64,White,White
191012996,Household excl. age 18-34,Asian,Asian
191013042,Household age 65+,Non-Asian POC,Non-Asian POC
191013051,Household age 65+,White,White
191013069,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191013080,Household excl. age 18-34,White,White
191013192,Household excl. age 18-34,White,White
191013206,Household age 65+,White,White
191013208,Household age 35-64,White,White
191013212,Household excl. age 18-34,Other,Other
191013213,Household with children,Other,Other
191013254,Household with children,White,White
191013258,Household age 35-64,White,White
191013281,Household age 65+,White,White
191013289,Household excl. age 18-34,Other,Other
191013319,Household age 65+,White,White
191013327,Household age 65+,White,White
191013331,Household with children,White,White
191013345,Household with children,White,White
191013356,Household age 65+,White,White
191013357,Household age 35-64,White,White
191013374,Household age 65+,White,White
191013427,Household age 35-64,White,White
191013437,Household excl. age 18-34,White,White
191013448,Household age 35-64,White,White
191013465,Household age 35-64,White,White
191013470,Household with children,White,White
191013475,Household age 35-64,White,White
191013517,Household with children,White,White
191013527,Household excl. age 18-34,White,White
191013565,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191013567,Household age 35-64,White,White
191013603,Household age 65+,White,White
191013631,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191013645,Household age 35-64,White,White
191013671,Household age 65+,Asian,Asian
191013677,Household age 35-64,White,White
191013679,Household age 35-64,White,White
191013711,Household age 35-64,White,White
191013725,Household with children,White,White
191013732,Household with children,Other,Other
191013736,Household age 35-64,Asian,Asian
191013788,Household excl. age 18-34,Asian,Asian
191013826,Household age 35-64,Other,Other
191013888,Household age 65+,White,White
191013920,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191013923,Household age 35-64,White,White
191013944,Household age 65+,White,White
191013951,Household excl. age 18-34,Other,Other
191013965,Household with children,Other,Other
191013970,Household age 35-64,Asian,Asian
191013989,Household age 35-64,White,White
191014026,Household excl. age 18-34,White,White
191014028,Household age 65+,White,White
191014048,Household age 35-64,Other,Other
191014103,Household age 65+,White,White
191014117,Household age 35-64,White,White
191014122,Household excl. age 18-34,White,White
191014140,Household excl. age 18-34,White,White
191014148,Household age 65+,White,White
191014162,Household age 35-64,White,White
191014175,Household age 35-64,White,White
191014198,Household age 65+,White,White
191014203,Household age 35-64,White,White
191014236,Household excl. age 18-34,White,White
191014290,Household excl. age 18-34,White,White
191014304,Household age 35-64,White,White
191014340,Household age 35-64,White,White
191014351,Household age 35-64,White,White
191014386,Household age 65+,White,White
191014387,Household age 65+,White,White
191014404,Household age 65+,Non-Asian POC,Non-Asian POC
191014442,Household age 35-64,White,White
191014477,Household with children,Asian,Asian
191014522,Household age 35-64,White,White
191014523,Household age 65+,White,White
191014526,Household excl. age 18-34,White,White
191014549,Household age 35-64,White,White
191014555,Household age 65+,White,White
191014566,Household excl. age 18-34,White,White
191014567,Household excl. age 18-34,White,White
191014568,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191014576,Household with children,Asian,Asian
191014635,Household age 35-64,White,White
191014649,Household age 65+,White,White
191014711,Household age 35-64,White,White
191014729,Household age 35-64,White,White
191014836,Household with children,Non-Asian POC,Non-Asian POC
191014862,Household age 65+,Other,Other
191014907,Household excl. age 18-34,White,White
191014914,Household excl. age 18-34,Asian,Asian
191014959,Household age 35-64,White,White
191014981,Household age 35-64,White,White
191014988,Household age 35-64,Non-Asian POC,Non-Asian POC
191015026,Household age 65+,White,White
191015043,Household age 35-64,Asian,Asian
191015048,Household age 35-64,White,White
191015090,Household excl. age 18-34,Asian,Asian
191015101,Household age 65+,White,White
191015105,Household age 65+,White,White
191015195,Household with children,White,White
191015211,Household with children,White,White
191015234,Household age 35-64,Asian,Asian
191015247,Household with children,Non-Asian POC,Non-Asian POC
191015250,Household age 35-64,White,White
191015335,Household excl. age 18-34,Other,Other
191015383,Household age 35-64,White,White
191015391,Household excl. age 18-34,White,White
191015396,Household excl. age 18-34,Other,Other
191015418,Household age 35-64,White,White
191015446,Household age 35-64,White,White
191015471,Household age 65+,Other,Other
191015524,Household with children,White,White
191015528,Household with children,Non-Asian POC,Non-Asian POC
191015562,Household with children,White,White
191015593,Household excl. age 18-34,White,White
191015596,Household age 35-64,Non-Asian POC,Non-Asian POC
191015609,Household age 65+,White,White
191015656,Household with children,Non-Asian POC,Non-Asian POC
191015707,Household excl. age 18-34,White,White
191015763,Household age 35-64,White,White
191015816,Household age 35-64,White,White
191015819,Household with children,White,White
191015836,Household age 65+,White,White
191015856,Household age 35-64,Asian,Asian
191015857,Household age 35-64,White,White
191015863,Household with children,Non-Asian POC,Non-Asian POC
191015877,Household with children,White,White
191015884,Household age 65+,White,White
191015915,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191015984,Household age 35-64,White,White
191015995,Household age 65+,White,White
191016037,Household age 35-64,Non-Asian POC,Non-Asian POC
191016041,Household age 35-64,White,White
191016045,Household age 35-64,White,White
191016132,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191016136,Household age 35-64,Non-Asian POC,Non-Asian POC
191016162,Household with children,White,White
191016170,Household age 65+,White,White
191016176,Household excl. age 18-34,White,White
191016213,Household with children,White,White
191016218,Household excl. age 18-34,White,White
191016253,Household excl. age 18-34,White,White
191016256,Household age 35-64,Non-Asian POC,Non-Asian POC
191016275,Household age 35-64,Other,Other
